area_sqft,bedrooms,bathrooms,stories,parking,age_years,latitude,longitude,distance_to_city_km,distance_to_school_km,distance_to_hospital_km,schools_within_2km,nearest_school_km,hospitals_within_2km,nearest_hospital_km,metro_within_2km,nearest_metro_km,parks_within_2km,shopping_within_2km,supermarkets_within_2km,crime_rate,property_tax,income_index,location,furnishing,has_garden,has_pool,price
1291.5,3,3,2,1,23.9,13.14964,80.27002,7.43,0.61,0.88,4,0.61,3,0.88,3,1.53,5,3,7,0.2978,33356.0,0.4486,Chennai,Semi-Furnished,No,Yes,7567268.0
2089.7,4,3,1,2,2.9,12.97259,77.61689,2.41,0.2,0.73,12,0.2,7,0.73,5,0.8,4,3,3,0.2634,120000.0,0.7224,Bangalore,Unfurnished,Yes,Yes,19926813.0
1226.7,2,2,2,0,4.6,28.71794,77.34846,17.83,0.67,0.62,5,0.67,3,0.62,1,1.5,0,2,1,0.4915,46273.0,0.7416,Delhi,Semi-Furnished,Yes,No,8889361.0
2421.0,4,3,2,3,11.4,18.48216,73.84501,4.42,0.25,0.39,6,0.25,3,0.39,4,0.8,5,2,6,0.2043,100453.0,0.8683,Pune,Semi-Furnished,Yes,Yes,16393815.0
1817.5,3,3,2,2,7.4,28.58633,77.14397,7.04,0.22,1.17,8,0.22,6,1.17,4,1.32,6,3,5,0.2908,68698.0,0.8492,Delhi,Semi-Furnished,No,No,14818316.0
1729.8,3,2,1,2,8.4,28.62539,77.14151,6.7,0.32,0.91,11,0.32,4,0.91,2,0.59,3,2,7,0.0702,96802.0,0.6125,Delhi,Semi-Furnished,No,No,13562404.0
1407.4,3,3,1,1,3.4,17.3174,78.36414,15.0,0.42,1.03,7,0.42,5,1.03,2,1.63,2,3,1,0.032,58980.0,0.7145,Hyderabad,Semi-Furnished,No,No,9820449.0
2644.7,5,4,3,3,1.0,12.99807,77.62216,4.19,0.5,0.7,10,0.5,3,0.7,2,0.81,1,2,3,0.3343,120000.0,0.6979,Bangalore,Unfurnished,Yes,No,20391176.0
1749.6,4,4,2,0,0.3,28.62786,77.20155,1.71,0.2,0.86,11,0.2,5,0.86,5,1.54,5,2,4,0.2387,101261.0,0.8604,Delhi,Furnished,Yes,No,18298376.0
1571.6,3,3,1,0,0.5,13.1502,80.26628,7.51,0.23,1.28,9,0.23,5,1.28,0,0.68,6,4,5,0.3141,52605.0,0.5706,Chennai,Unfurnished,No,Yes,10104234.0
1621.1,3,3,4,1,4.5,13.01965,77.53564,8.31,0.4,0.34,6,0.4,2,0.34,0,0.84,2,2,3,0.0813,77877.0,0.43,Bangalore,Semi-Furnished,No,No,11455273.0
2196.0,4,3,1,3,2.7,13.05918,80.22368,5.71,0.2,0.93,6,0.2,7,0.93,6,0.4,0,2,2,0.1154,56695.0,0.5777,Chennai,Unfurnished,No,No,12393518.0
2087.5,5,4,2,3,1.1,17.34086,78.53132,6.81,0.34,0.74,9,0.34,4,0.74,2,1.43,5,4,1,0.3394,90619.0,0.6455,Hyderabad,Unfurnished,No,No,14570649.0
2118.3,3,3,1,1,6.1,28.60583,77.07394,13.19,0.55,0.99,9,0.55,4,0.99,0,1.12,2,1,2,0.3858,77077.0,0.763,Delhi,Semi-Furnished,No,Yes,17378762.0
2130.0,3,3,3,2,4.8,13.17773,80.35854,14.19,0.33,0.99,6,0.33,0,0.99,4,2.24,0,3,5,0.2882,63263.0,0.6305,Chennai,Unfurnished,Yes,No,11379962.0
3242.1,5,3,1,1,0.6,19.08445,72.86887,1.32,0.2,0.66,12,0.2,3,0.66,1,1.04,5,2,6,0.5043,120000.0,0.4814,Mumbai,Semi-Furnished,No,Yes,31393453.0
1585.8,3,3,4,0,20.6,13.28189,80.09965,28.83,0.98,2.55,6,0.98,0,2.55,3,2.97,2,2,1,0.2861,34416.0,0.7307,Chennai,Semi-Furnished,Yes,No,8364476.0
1517.0,3,3,2,1,12.0,17.38983,78.53821,5.48,0.2,0.69,7,0.2,7,0.69,4,0.92,4,0,4,0.084,69878.0,0.3805,Hyderabad,Furnished,No,No,11514536.0
1321.0,3,3,1,0,7.5,28.58993,77.16135,5.35,0.45,0.72,12,0.45,1,0.72,3,0.92,4,2,7,0.3155,61343.0,0.5696,Delhi,Semi-Furnished,Yes,Yes,12404878.0
2250.4,3,2,1,1,4.8,28.61269,77.28985,7.88,0.35,0.99,5,0.35,2,0.99,1,0.58,2,0,2,0.2233,97178.0,0.4952,Delhi,Unfurnished,Yes,No,15042617.0
2583.8,5,4,3,1,8.2,13.10696,80.37781,11.89,0.32,0.97,13,0.32,3,0.97,2,1.79,3,1,5,0.0365,70494.0,0.7216,Chennai,Semi-Furnished,Yes,No,14781768.0
1775.9,3,2,1,1,1.7,18.45441,73.82158,8.2,0.2,0.77,8,0.2,5,0.77,1,1.02,2,2,3,0.5572,44629.0,0.6031,Pune,Unfurnished,No,No,9760628.0
1303.9,3,3,1,1,2.9,28.74039,77.06397,19.92,0.59,1.43,8,0.59,4,1.43,1,2.57,2,4,4,0.0916,56958.0,0.6422,Delhi,Semi-Furnished,Yes,No,10342341.0
1314.1,2,2,2,1,25.2,18.57958,73.87001,6.72,0.29,1.05,10,0.29,5,1.05,3,0.44,7,0,7,0.181,54921.0,0.6989,Pune,Semi-Furnished,No,No,8573129.0
2272.9,4,4,1,2,0.3,28.51486,77.2768,12.83,0.2,0.75,5,0.2,2,0.75,0,1.52,1,1,8,0.1877,81193.0,0.6609,Delhi,Semi-Furnished,Yes,Yes,17923414.0
2333.1,4,3,2,1,18.5,17.37419,78.37952,11.42,0.47,1.07,3,0.47,2,1.07,2,1.52,1,4,5,0.1184,56890.0,0.3873,Hyderabad,Furnished,Yes,No,12649640.0
2203.1,4,4,2,1,11.4,17.43662,78.3259,17.97,0.47,1.34,7,0.47,5,1.34,1,1.49,2,3,6,0.391,79386.0,0.5625,Hyderabad,Semi-Furnished,Yes,No,11466220.0
1417.4,3,3,1,2,3.3,19.14613,72.88153,7.79,0.25,0.94,10,0.25,5,0.94,4,1.26,2,2,5,0.4392,63252.0,0.5316,Mumbai,Furnished,Yes,No,14596960.0
2000.9,4,3,1,0,18.1,12.95323,77.6106,2.67,0.29,0.87,12,0.29,4,0.87,4,1.07,4,4,7,0.0376,83996.0,0.6943,Bangalore,Furnished,Yes,Yes,15695993.0
1925.8,3,3,1,2,13.0,17.30176,78.60509,15.58,0.6,0.86,5,0.6,2,0.86,3,1.32,3,2,4,0.1384,72165.0,0.5629,Hyderabad,Semi-Furnished,Yes,No,11295844.0
1992.1,3,3,4,1,15.3,13.00096,77.61962,4.24,0.2,0.78,11,0.2,4,0.78,1,0.77,6,1,7,0.182,66408.0,0.7724,Bangalore,Semi-Furnished,Yes,Yes,17260176.0
2416.4,4,4,1,1,8.6,13.14412,80.16141,13.64,0.35,1.4,9,0.35,3,1.4,4,1.24,2,4,4,0.2362,64571.0,0.612,Chennai,Unfurnished,No,No,13361718.0
1995.3,4,4,2,1,4.5,28.62199,77.28354,7.32,0.25,0.86,12,0.25,3,0.86,3,1.16,5,2,7,0.5615,87332.0,0.25,Delhi,Furnished,Yes,No,14370818.0
2291.3,4,4,2,2,9.6,19.01081,72.87588,7.24,0.2,0.85,9,0.2,3,0.85,1,0.99,6,2,6,0.3462,120000.0,0.5745,Mumbai,Semi-Furnished,No,Yes,21761187.0
1893.9,3,2,2,1,19.1,18.50692,73.90268,5.07,0.47,0.72,6,0.47,6,0.72,4,1.67,4,2,5,0.1964,77926.0,0.665,Pune,Unfurnished,Yes,No,11556339.0
2037.9,3,3,1,3,,17.32923,78.47884,6.25,0.45,0.5,9,0.45,3,0.5,3,0.6,2,4,5,0.1551,80671.0,0.479,Hyderabad,Unfurnished,No,Yes,13051748.0
2260.3,4,3,1,1,12.5,17.45523,78.5039,8.01,0.31,0.51,8,0.31,3,0.51,3,0.85,2,3,7,0.1466,91885.0,0.761,Hyderabad,Furnished,No,Yes,14437985.0
902.8,3,3,2,1,6.3,13.0658,80.22703,5.08,0.29,0.58,11,0.29,6,0.58,3,0.59,3,3,6,0.4484,33103.0,0.6499,Chennai,Unfurnished,No,Yes,8523172.0
1642.2,4,3,2,1,3.7,17.39213,78.48778,0.8,0.51,0.84,12,0.51,5,0.84,2,0.88,6,3,3,0.2194,73355.0,0.9181,Hyderabad,Furnished,Yes,No,15259583.0
1544.3,2,2,2,2,0.5,18.54095,73.87228,2.81,0.2,1.21,13,0.2,7,1.21,0,1.37,4,3,7,0.0377,53541.0,0.6391,Pune,Unfurnished,Yes,No,10785989.0
1434.7,3,2,1,1,1.0,28.69631,77.27805,11.36,0.26,0.69,6,0.26,0,0.69,2,1.61,1,2,2,0.1502,65276.0,0.724,Delhi,Semi-Furnished,Yes,No,10939469.0
1671.2,3,2,2,0,39.2,18.49522,73.6582,21.08,0.82,0.88,3,0.82,2,0.88,0,2.3,5,2,1,0.2825,42116.0,0.6858,Pune,Unfurnished,No,Yes,7954541.0
2821.7,4,4,1,2,12.8,28.59084,77.17698,4.04,0.2,0.55,13,0.2,4,0.55,2,0.91,3,1,6,0.2906,119931.0,0.5525,Delhi,Unfurnished,No,No,19456847.0
1287.2,2,2,2,2,6.4,28.58714,77.18459,3.81,0.34,1.34,8,0.34,5,1.34,4,0.94,4,4,8,0.0928,64824.0,0.2645,Delhi,Semi-Furnished,Yes,No,11917297.0
2479.4,4,3,2,2,3.5,17.32382,78.4805,6.82,0.24,1.24,9,0.24,4,1.24,0,1.61,4,3,2,0.2523,101077.0,0.5096,Hyderabad,Furnished,No,No,15053637.0
756.1,2,2,1,2,9.5,17.62022,78.54891,26.93,1.11,2.21,3,1.11,2,2.21,2,3.91,1,0,1,0.1426,27296.0,0.4688,Hyderabad,Semi-Furnished,No,No,4705129.0
1632.3,3,2,4,1,32.6,19.12535,72.92671,7.51,0.35,0.63,4,0.35,5,0.63,4,0.63,3,4,4,0.0431,84149.0,0.5652,Mumbai,Unfurnished,Yes,No,14654833.0
1955.8,4,3,2,1,14.4,28.70925,77.24441,11.13,0.2,0.92,8,0.2,2,0.92,2,1.5,3,0,5,0.2193,68628.0,0.3233,Delhi,Semi-Furnished,Yes,No,13709565.0
2231.0,4,3,1,1,0.3,19.05826,72.81699,6.67,0.57,0.91,10,0.57,6,0.91,2,1.07,4,3,5,0.1711,116447.0,0.8204,Mumbai,Unfurnished,No,No,24279499.0
2312.3,4,3,1,0,0.2,28.64241,77.18382,4.0,0.37,0.78,11,0.37,3,0.78,3,0.44,3,5,6,0.026,110418.0,0.7195,Delhi,Semi-Furnished,Yes,No,22234463.0
2365.7,4,3,2,1,12.9,28.61725,77.2994,8.82,0.3,1.14,7,0.3,4,1.14,2,1.08,3,2,6,0.2664,90898.0,0.6645,Delhi,Unfurnished,No,Yes,17900703.0
1623.3,2,3,3,0,0.8,19.02984,72.77523,11.91,0.27,1.09,5,0.27,0,1.09,2,1.71,2,1,9,0.0543,80832.0,0.47,Mumbai,Furnished,Yes,No,17437410.0
1549.5,3,3,1,2,3.2,12.95661,77.61053,2.4,0.2,1.09,8,0.2,2,1.09,4,1.06,5,4,8,0.2011,60671.0,0.554,Bangalore,Furnished,Yes,No,13994365.0
2407.7,4,4,1,0,9.9,13.07282,77.70901,16.71,0.7,1.22,9,0.7,1,1.22,0,1.29,3,0,2,0.1446,100780.0,0.7098,Bangalore,Semi-Furnished,Yes,No,14503365.0
1725.7,4,3,2,2,0.8,12.96222,80.33419,15.03,0.51,1.35,7,0.51,0,1.35,1,1.9,3,2,4,0.2071,71203.0,0.8225,Chennai,Semi-Furnished,No,No,9756069.0
1020.8,2,2,1,1,7.3,28.6619,77.23232,5.79,0.2,0.63,8,0.2,4,0.63,2,1.15,4,2,4,0.5514,61371.0,0.7736,Delhi,Furnished,No,No,8998673.0
1113.4,2,2,1,2,2.7,19.11581,72.8526,5.14,0.4,0.69,7,0.4,6,0.69,3,1.26,3,2,9,0.2284,83217.0,0.6436,Mumbai,Semi-Furnished,No,No,12436339.0
1252.4,2,2,1,1,1.7,13.03885,77.59435,7.47,0.4,0.83,6,0.4,4,0.83,0,0.61,5,5,8,0.5756,36967.0,0.5085,Bangalore,Semi-Furnished,No,No,9556500.0
2173.2,4,4,2,1,26.7,17.40424,78.51354,3.56,0.6,0.73,11,0.6,5,0.73,4,0.61,2,3,7,0.0835,62618.0,0.6303,Hyderabad,Unfurnished,Yes,No,12737794.0
1942.6,4,3,1,0,3.8,13.0015,80.34031,11.74,0.82,0.56,8,0.82,7,0.56,1,1.55,3,0,3,0.1849,77002.0,0.7082,Chennai,Furnished,Yes,No,11237484.0
2298.8,5,4,1,1,18.0,18.28951,73.77761,26.95,1.24,2.02,1,1.24,2,2.02,1,3.6,1,1,3,0.077,59548.0,0.3336,Pune,Unfurnished,No,No,9916807.0
1572.3,4,3,1,1,0.1,28.61421,77.21778,0.86,0.55,0.8,9,0.55,5,0.8,2,1.16,6,4,8,0.3251,83704.0,0.3349,Delhi,Furnished,No,No,13373455.0
1953.1,4,4,1,2,7.1,17.39428,78.41854,7.29,0.45,1.45,7,0.45,2,1.45,1,1.17,3,5,5,0.3866,95051.0,0.8615,Hyderabad,Semi-Furnished,No,Yes,13993678.0
2256.6,3,3,4,2,24.9,13.14486,80.18837,11.26,0.46,1.17,10,0.46,4,1.17,1,1.57,3,2,3,0.1101,63126.0,0.6841,Chennai,Furnished,No,No,11779548.0
1648.9,4,3,1,1,21.6,19.1075,72.74849,14.0,0.36,1.24,5,0.36,5,1.24,1,0.62,3,1,5,0.0305,66019.0,0.6033,Mumbai,Semi-Furnished,Yes,No,13706847.0
2146.9,4,3,1,1,7.1,18.53395,73.82956,3.23,0.43,0.77,11,0.43,3,0.77,3,0.75,4,3,6,0.1768,89487.0,0.7292,Pune,Unfurnished,Yes,No,13471456.0
1419.7,3,3,3,0,21.0,18.59506,73.74988,13.97,0.51,1.01,10,0.51,3,1.01,4,1.46,3,2,6,0.0506,51680.0,0.6369,Pune,Semi-Furnished,Yes,Yes,10670325.0
1614.0,3,2,4,1,2.4,12.98134,80.25962,11.31,0.42,0.82,10,0.42,1,0.82,0,1.74,1,1,7,0.4941,46544.0,0.3783,Chennai,Furnished,No,No,9327351.0
1601.9,3,3,3,1,18.8,13.15526,80.20931,10.44,0.51,0.89,10,0.51,4,0.89,3,1.14,2,3,1,0.1329,56969.0,0.6668,Chennai,Semi-Furnished,No,Yes,10586079.0
1072.7,2,3,1,1,11.3,19.05987,72.91852,4.64,0.29,0.69,14,0.29,4,0.69,2,1.09,5,3,6,0.0849,76031.0,0.7824,Mumbai,Unfurnished,No,No,11597349.0
2166.5,4,3,2,1,1.9,28.52845,77.18648,9.74,0.2,0.63,9,0.2,4,0.63,3,1.53,4,3,5,0.3785,106864.0,0.7859,Delhi,Semi-Furnished,No,Yes,19725918.0
1544.9,3,3,2,1,14.3,19.11429,72.79816,9.36,0.26,1.19,7,0.26,0,1.19,3,0.83,3,0,4,0.2796,55519.0,0.5469,Mumbai,Unfurnished,No,No,13727466.0
1858.1,3,2,2,1,1.7,13.00787,77.53317,7.77,0.34,0.85,13,0.34,4,0.85,1,1.02,3,0,5,0.1723,73865.0,0.6544,Bangalore,Semi-Furnished,Yes,No,14575274.0
2162.5,3,3,1,1,2.0,18.59819,73.82823,9.14,0.38,0.65,10,0.38,5,0.65,2,1.0,0,4,7,0.1013,66427.0,0.7332,Pune,Semi-Furnished,No,No,13774228.0
2140.2,3,3,1,2,16.2,18.47805,73.83162,5.39,0.41,0.71,8,0.41,5,0.71,1,0.9,4,3,5,0.4288,52240.0,0.3845,Pune,Unfurnished,Yes,No,11472241.0
2282.5,4,4,1,0,4.3,28.58195,77.2156,3.6,0.3,0.46,12,0.3,4,0.46,2,0.6,5,3,7,0.0443,82858.0,0.7067,Delhi,Unfurnished,Yes,No,19935196.0
1786.0,3,3,2,0,9.1,17.48287,78.47746,10.91,0.53,1.1,3,0.53,0,1.1,3,0.96,4,1,5,0.4444,75288.0,0.3728,Hyderabad,Furnished,Yes,Yes,10953023.0
1574.9,3,3,1,1,0.1,12.93058,77.51319,9.91,0.49,1.04,9,0.49,6,1.04,3,1.69,5,1,9,0.6183,67804.0,0.7993,Bangalore,Unfurnished,No,Yes,13942567.0
1798.2,3,2,2,1,9.6,28.57253,77.20199,4.64,0.47,0.57,5,0.47,2,0.57,2,0.82,6,5,10,0.1091,104771.0,0.7736,Delhi,Semi-Furnished,Yes,No,15245705.0
753.2,2,2,2,1,7.3,19.04744,72.8939,3.6,0.2,0.52,9,0.2,6,0.52,4,0.4,2,1,4,0.336,61439.0,0.738,Mumbai,Semi-Furnished,Yes,No,9924779.0
909.4,3,3,3,2,14.2,18.56195,73.94735,10.6,0.48,0.57,7,0.48,2,0.57,2,1.25,6,1,7,0.0372,33868.0,0.3274,Pune,Semi-Furnished,No,No,6278107.0
990.2,2,2,3,2,2.8,13.00558,77.62996,5.37,0.57,0.81,7,0.57,2,0.81,1,0.86,4,4,4,0.0218,42769.0,0.5272,Bangalore,Unfurnished,Yes,Yes,10531616.0
1201.8,3,2,2,3,14.0,19.02037,72.72287,17.38,0.64,1.28,6,0.64,2,1.28,2,1.94,2,3,1,0.0535,68776.0,0.3589,Mumbai,Semi-Furnished,No,No,11590303.0
2109.9,4,4,1,0,13.6,13.14417,77.6009,19.17,0.58,1.43,3,0.58,0,1.43,1,2.45,5,0,5,0.154,59226.0,0.457,Bangalore,Furnished,Yes,No,12807153.0
1261.4,2,2,3,0,5.3,13.02778,77.56239,7.14,0.5,0.45,9,0.5,2,0.45,3,1.48,7,1,8,0.1911,48360.0,0.6562,Bangalore,Semi-Furnished,Yes,Yes,11894483.0
1604.2,3,3,1,0,6.7,17.39717,78.5566,7.53,0.6,0.63,12,0.6,6,0.63,3,1.43,5,4,5,0.1598,63854.0,0.5649,Hyderabad,Semi-Furnished,No,No,9419402.0
2694.5,4,3,1,1,10.5,12.94123,77.49919,10.86,0.55,1.03,6,0.55,5,1.03,1,1.15,3,0,6,0.085,87545.0,0.4108,Bangalore,Unfurnished,No,No,16869751.0
1618.4,2,2,1,1,5.7,13.05687,77.68074,13.28,0.2,1.14,9,0.2,1,1.14,0,2.11,2,1,4,0.1694,67102.0,0.6636,Bangalore,Semi-Furnished,No,No,10985696.0
2329.4,4,4,2,1,3.5,19.17014,72.92076,11.38,0.55,0.83,14,0.55,2,0.83,3,1.35,2,1,4,0.0913,120000.0,0.6846,Mumbai,Semi-Furnished,Yes,No,23865883.0
1243.1,3,2,1,1,2.5,18.48999,73.90608,6.2,0.41,0.49,10,0.41,0,0.49,3,1.06,5,4,7,0.4274,39784.0,0.514,Pune,Furnished,No,Yes,9339677.0
1716.5,3,3,1,2,10.1,18.99923,72.81619,10.69,0.33,0.89,4,0.33,3,0.89,3,1.33,2,2,6,0.3587,66064.0,0.7605,Mumbai,Furnished,No,No,16457591.0
1232.5,2,2,1,0,16.0,13.02184,77.56505,6.43,0.58,0.99,11,0.58,3,0.99,2,1.2,5,3,1,0.3956,38164.0,0.8131,Bangalore,Semi-Furnished,No,No,9972358.0
1629.6,3,3,2,1,6.6,13.02779,77.53599,8.89,0.2,0.84,8,0.2,6,0.84,2,1.16,4,0,7,0.6653,56632.0,0.3202,Bangalore,Semi-Furnished,No,No,10842117.0
2396.2,5,4,2,1,7.3,13.11301,80.29802,4.48,0.43,0.6,14,0.43,5,0.6,2,0.98,3,2,3,0.1915,104152.0,0.5444,Chennai,Semi-Furnished,Yes,Yes,15724634.0
727.2,3,3,2,1,17.1,17.37109,78.43865,5.32,0.44,0.6,7,0.44,4,0.6,5,0.93,4,5,7,0.0476,24674.0,0.4422,Hyderabad,Unfurnished,No,No,6657421.0
2132.4,4,3,1,1,18.6,19.05639,72.86044,2.83,0.28,0.45,10,0.28,5,0.45,2,0.53,5,2,7,0.1156,120000.0,0.25,Mumbai,Unfurnished,No,No,18968452.0
2004.5,3,3,3,1,0.2,17.37809,78.50699,2.28,0.38,0.3,10,0.38,4,0.3,2,0.58,4,5,6,0.0247,93757.0,0.5642,Hyderabad,Semi-Furnished,Yes,Yes,16687517.0
1463.8,3,2,1,2,4.8,18.47496,73.8376,5.43,0.65,0.75,10,0.65,5,0.75,4,1.0,5,0,9,0.2146,43503.0,0.6454,Pune,Semi-Furnished,No,No,8821533.0
910.1,2,3,1,2,23.3,17.32423,78.63696,17.29,0.59,0.98,4,0.59,3,0.98,4,2.21,3,0,6,0.6352,24322.0,0.7799,Hyderabad,Semi-Furnished,No,No,5831027.0
1896.9,3,3,2,1,26.4,28.72359,77.04366,20.19,0.69,1.78,5,0.69,3,1.78,2,1.72,3,2,3,0.3597,63556.0,0.5183,Delhi,Semi-Furnished,No,No,9833116.0
1505.8,3,3,2,2,18.8,12.95331,77.62482,3.85,0.31,0.77,13,0.31,5,0.77,0,1.73,4,2,3,0.2,84030.0,0.7796,Bangalore,Semi-Furnished,Yes,Yes,11936282.0
2001.2,3,3,2,1,6.7,17.35849,78.49935,3.23,0.2,0.86,11,0.2,8,0.86,1,0.65,3,4,8,0.1862,78017.0,0.4136,Hyderabad,Unfurnished,Yes,No,12561091.0
1864.2,3,3,1,2,7.1,19.14402,72.97548,12.74,0.49,0.94,9,0.49,0,0.94,2,1.82,6,2,2,0.2576,71555.0,0.4222,Mumbai,Semi-Furnished,Yes,Yes,18211391.0
2891.2,5,4,3,1,1.9,12.97469,77.65206,6.22,0.2,0.77,12,0.2,2,0.77,4,1.24,2,6,7,0.3882,120000.0,0.7174,Bangalore,Semi-Furnished,Yes,No,22374700.0
1694.4,3,3,2,0,5.2,13.05142,80.23284,5.37,0.31,0.88,9,0.31,3,0.88,6,0.78,4,2,5,0.0662,66941.0,0.3016,Chennai,,No,No,9522660.0
1184.7,3,3,3,1,3.1,17.28831,78.47651,10.79,0.52,0.68,4,0.52,5,0.68,1,0.97,3,4,4,0.5568,48951.0,0.666,Hyderabad,Semi-Furnished,No,No,8774300.0
1966.5,4,3,2,3,11.5,19.11534,72.82246,7.26,0.39,0.74,8,0.39,4,0.74,0,1.3,3,3,6,0.0344,120000.0,0.3685,Mumbai,Unfurnished,Yes,Yes,19933059.0
1993.0,4,3,2,3,2.5,17.46795,78.46461,9.5,0.2,1.15,6,0.2,5,1.15,1,1.38,5,2,5,0.0268,78180.0,0.8115,Hyderabad,Semi-Furnished,Yes,No,14941587.0
2733.5,5,3,1,0,2.0,13.08116,80.3305,6.47,0.34,0.97,12,0.34,4,0.97,2,1.7,4,2,5,0.1441,88970.0,0.8554,Chennai,Semi-Furnished,Yes,No,17199850.0
2392.8,4,4,2,1,3.7,17.4104,78.4501,4.79,0.45,0.32,10,0.45,3,0.32,1,1.53,3,2,7,0.207,113440.0,0.7189,Hyderabad,Unfurnished,No,Yes,16665725.0
2082.0,4,2,2,2,28.3,28.63508,77.23746,3.64,0.23,0.3,12,0.23,6,0.3,5,1.24,2,2,9,0.4167,84504.0,0.5335,Delhi,Semi-Furnished,No,No,14956870.0
2801.1,5,4,3,1,8.4,28.47179,77.12128,17.94,0.7,0.98,7,0.7,2,0.98,1,1.97,3,2,1,0.1941,81814.0,0.7938,Delhi,Furnished,Yes,No,22283131.0
1077.3,2,2,3,1,14.3,28.46535,77.13595,17.96,0.51,0.87,9,0.51,4,0.87,2,1.86,1,0,2,0.3141,33914.0,0.6001,Delhi,Semi-Furnished,No,No,8591609.0
1434.2,3,3,2,3,6.9,18.47386,73.93997,10.17,0.63,0.94,11,0.63,1,0.94,2,0.76,4,2,4,0.1379,46411.0,0.25,Pune,Semi-Furnished,Yes,No,8936471.0
1247.7,3,2,3,1,9.3,12.97792,77.57816,1.91,0.31,0.68,9,0.31,7,0.68,4,0.4,3,3,6,0.1361,59689.0,0.6343,Bangalore,Semi-Furnished,Yes,Yes,13287873.0
1596.6,3,3,3,0,7.8,18.48699,73.88632,4.84,0.49,0.69,8,0.49,6,0.69,3,1.2,3,1,10,0.209,42187.0,0.5346,Pune,Semi-Furnished,No,No,10812672.0
955.2,2,2,3,0,3.3,17.46293,78.5675,12.17,0.54,1.01,8,0.54,3,1.01,1,1.86,4,2,4,0.3772,27347.0,0.7239,Hyderabad,Unfurnished,No,No,6638237.0
2262.8,4,4,1,1,5.3,19.01014,72.84448,8.1,0.65,0.88,13,0.65,2,0.88,3,1.21,3,2,8,0.1959,113665.0,0.5299,Mumbai,Furnished,No,No,21171679.0
